"python开发工程师","http://jobs.zhaopin.com/619323221250184.htm","10001-15000元/月xa0","北京-大兴区","不限","本科","软件工程师"
"python高级开发工程师","http://jobs.zhaopin.com/120086316251267.htm","20001-30000元/月xa0","北京","3-5年","本科","高级软件工程师"
"Python工程师/讲师","http://jobs.zhaopin.com/130087390251268.htm","15000-30000元/月xa0","北京","1-3年","本科","高级软件工程师"
"Python开发","http://jobs.zhaopin.com/596626722253340.htm","10001-15000元/月xa0","北京-海淀区","1-3年","大专","软件工程师"
"Python开发工程师","http://jobs.zhaopin.com/464105213250989.htm","10001-15000元/月xa0","北京","1-3年","大专","脚本开发工程师"
"Python开发","http://jobs.zhaopin.com/596626722253315.htm","8001-10000元/月xa0","北京","1-3年","不限","软件工程师"
"Python工程师","http://jobs.zhaopin.com/483542232250014.htm","10001-15000元/月xa0","北京","不限","大专","脚本开发工程师"
"python","http://jobs.zhaopin.com/596626722253317.htm","10001-15000元/月xa0","北京-海淀区","1-3年","大专","软件工程师"
"Python爬虫研发(职位编号：xingyuanauto000752)","http://jobs.zhaopin.com/457724735250570.htm","15000-25000元/月xa0","北京","1-3年","本科","算法工程师"
"Python 讲师","http://jobs.zhaopin.com/400382239250094.htm","15000-25000元/月xa0","北京","不限","不限","培训师/讲师"
"Python开发工程师","http://jobs.zhaopin.com/293110035250098.htm","15000-30000元/月xa0","北京-海淀区","3-5年","本科","高级软件工程师"
"Python工程师","http://jobs.zhaopin.com/538958086250115.htm","8001-10000元/月xa0","北京","1-3年","本科","脚本开发工程师"
"高级Java/Python工程师","http://jobs.zhaopin.com/672723022250053.htm","20000-40000元/月xa0","北京","5-10年","本科","高级软件工程师"
"高级python工程师","http://jobs.zhaopin.com/CC672723022J00031981115.htm","20000-40000元/月xa0","北京","5-10年","本科","高级软件工程师"
"后端工程师（Python）","http://jobs.zhaopin.com/317243584250089.htm","15001-20000元/月xa0","北京-海淀区","3-5年","本科","软件研发工程师"
"软件测试工程师（C++、java、python）","http://jobs.zhaopin.com/120359452259045.htm","10000-20000元/月xa0","北京","1-3年","本科","软件测试"
"Python高级工程师","http://jobs.zhaopin.com/000404489250996.htm","15000-30000元/月xa0","北京","3-5年","本科","软件工程师"
"Python工程师","http://jobs.zhaopin.com/273511830250845.htm","15001-20000元/月xa0","北京-海淀区","1-3年","本科","软件研发工程师"
"Python工程师（vmware平台方向）","http://jobs.zhaopin.com/000404489250975.htm","15000-30000元/月xa0","北京","3-5年","本科","软件工程师"
"Python研发工程师","http://jobs.zhaopin.com/000404489250784.htm","10000-20000元/月xa0","北京","3-5年","本科","高级软件工程师"
"python讲师","http://jobs.zhaopin.com/142549837250615.htm","15001-20000元/月xa0","北京","3-5年","本科","软件工程师"
"Python爬虫开发助理/双休+提成","http://jobs.zhaopin.com/514689632251572.htm","5000-8000元/月xa0","北京","不限","不限","高级软件工程师"
